[2020-01-26 21:33:47,480] [ model.py : 37 ] [ INFO ]	 : {}
[2020-01-26 21:35:04,073] [ model.py : 37 ] [ INFO ]	 : {}
[2020-01-26 21:36:29,981] [ model.py : 19 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 21:36:29,981] [ model.py : 39 ] [ INFO ]	 : {}
[2020-01-26 21:36:53,749] [ model.py : 19 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 21:36:53,749] [ model.py : 39 ] [ INFO ]	 : {}
[2020-01-26 21:37:28,712] [ model.py : 19 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 21:37:28,712] [ model.py : 39 ] [ INFO ]	 : {}
[2020-01-26 21:38:17,139] [ model.py : 19 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 21:38:17,140] [ model.py : 36 ] [ INFO ]	 : {}
[2020-01-26 21:40:18,749] [ model.py : 19 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 21:40:18,749] [ model.py : 39 ] [ INFO ]	 : {}
[2020-01-26 21:40:30,665] [ model.py : 19 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 21:42:08,258] [ model.py : 19 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 21:42:08,259] [ model.py : 32 ] [ INFO ]	 : Not exist or illegal config.json in game Arknights
[2020-01-26 21:42:08,259] [ model.py : 40 ] [ INFO ]	 : {}
[2020-01-26 21:44:22,222] [ model.py : 19 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 21:44:22,222] [ model.py : 36 ] [ INFO ]	 : loading game Arknights
[2020-01-26 21:44:22,223] [ model.py : 39 ] [ DEBUG ]	 : ('actions',)
[2020-01-26 21:44:22,223] [ model.py : 40 ] [ INFO ]	 : {}
[2020-01-26 21:44:58,878] [ model.py : 19 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 21:44:58,878] [ model.py : 36 ] [ INFO ]	 : loading game Arknights
[2020-01-26 21:44:58,890] [ model.py : 40 ] [ INFO ]	 : {}
[2020-01-26 21:45:36,773] [ model.py : 19 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 21:45:36,773] [ model.py : 36 ] [ INFO ]	 : loading game Arknights
[2020-01-26 21:45:36,774] [ model.py : 40 ] [ INFO ]	 : {}
[2020-01-26 21:46:06,062] [ model.py : 19 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
